episode,mean_return,captures,loss_actor,loss_critic_mean,noise,elapsed_s
1,0.0,0,nan,nan,0.29985,0.1
2,0.0,0,nan,nan,0.2997,0.2
3,0.0,0,nan,nan,0.29955,0.3
4,20.0,6,nan,nan,0.2994,0.3
5,30.0,9,nan,nan,0.29925,0.4
6,40.0,12,nan,nan,0.2991,0.5
7,30.0,9,nan,nan,0.29895,0.6
8,20.0,6,nan,nan,0.2988,0.7
9,30.0,9,nan,nan,0.29865,0.8
10,30.0,9,nan,nan,0.2985,0.8
11,20.0,6,nan,nan,0.29835,0.9
12,0.0,0,nan,nan,0.2982,1.0
13,20.0,6,nan,nan,0.29806,1.1
14,0.0,0,nan,nan,0.29791,1.2
15,30.0,9,nan,nan,0.29776,1.3
16,30.0,9,nan,nan,0.29761,1.3
17,0.0,0,nan,nan,0.29746,1.4
18,0.0,0,nan,nan,0.29731,1.5
19,0.0,0,nan,nan,0.29716,1.6
20,0.0,0,nan,nan,0.29701,1.7
21,30.0,9,nan,nan,0.29687,1.8
22,0.0,0,nan,nan,0.29672,1.8
23,0.0,0,nan,nan,0.29657,1.9
24,0.0,0,nan,nan,0.29642,2.0
25,30.0,9,nan,nan,0.29627,2.1
26,0.0,0,nan,nan,0.29612,2.2
27,0.0,0,nan,nan,0.29598,2.3
28,0.0,0,nan,nan,0.29583,2.4
29,0.0,0,nan,nan,0.29568,2.4
30,40.0,12,nan,nan,0.29553,2.5
31,0.0,0,nan,nan,0.29538,2.6
32,0.0,0,nan,nan,0.29524,2.7
33,30.0,9,nan,nan,0.29509,2.8
34,0.0,0,nan,nan,0.29494,2.9
35,0.0,0,nan,nan,0.29479,3.0
36,0.0,0,nan,nan,0.29465,3.1
37,0.0,0,nan,nan,0.2945,3.2
38,0.0,0,nan,nan,0.29435,3.2
39,0.0,0,nan,nan,0.29421,3.3
40,0.0,0,nan,nan,0.29406,3.4
41,0.0,0,nan,nan,0.29391,3.5
42,30.0,9,nan,nan,0.29376,3.6
43,60.0,18,nan,nan,0.29362,3.7
44,0.0,0,nan,nan,0.29347,3.7
45,30.0,9,nan,nan,0.29332,3.8
46,10.0,3,nan,nan,0.29318,3.9
47,0.0,0,nan,nan,0.29303,4.0
48,0.0,0,nan,nan,0.29288,4.1
49,0.0,0,nan,nan,0.29274,4.1
50,0.0,0,nan,nan,0.29259,4.2
51,0.0,0,nan,nan,0.29244,4.3
52,0.0,0,nan,nan,0.2923,4.4
53,0.0,0,nan,nan,0.29215,4.5
54,0.0,0,nan,nan,0.29201,4.6
55,0.0,0,nan,nan,0.29186,4.6
56,30.0,9,nan,nan,0.29171,4.7
57,0.0,0,nan,nan,0.29157,4.8
58,0.0,0,nan,nan,0.29142,4.9
59,0.0,0,nan,nan,0.29128,5.0
60,30.0,9,nan,nan,0.29113,5.1
61,0.0,0,nan,nan,0.29099,5.1
62,10.0,3,nan,nan,0.29084,5.2
63,0.0,0,nan,nan,0.29069,5.3
64,30.0,9,nan,nan,0.29055,5.4
65,30.0,9,nan,nan,0.2904,5.5
66,0.0,0,nan,nan,0.29026,5.5
67,0.0,0,nan,nan,0.29011,5.6
68,70.0,21,nan,nan,0.28997,5.7
69,0.0,0,nan,nan,0.28982,5.8
70,30.0,9,nan,nan,0.28968,5.9
71,0.0,0,nan,nan,0.28953,6.0
72,0.0,0,nan,nan,0.28939,6.0
73,0.0,0,nan,nan,0.28924,6.1
74,0.0,0,nan,nan,0.2891,6.2
75,30.0,9,nan,nan,0.28896,6.3
76,0.0,0,nan,nan,0.28881,6.4
77,20.0,6,nan,nan,0.28867,6.4
78,30.0,9,nan,nan,0.28852,6.5
79,0.0,0,nan,nan,0.28838,6.6
80,0.0,0,nan,nan,0.28823,6.7
81,0.0,0,nan,nan,0.28809,6.8
82,30.0,9,nan,nan,0.28795,6.9
83,0.0,0,nan,nan,0.2878,6.9
84,0.0,0,nan,nan,0.28766,7.0
85,30.0,9,nan,nan,0.28751,7.1
86,0.0,0,nan,nan,0.28737,7.2
87,0.0,0,nan,nan,0.28723,7.3
88,0.0,0,nan,nan,0.28708,7.4
89,0.0,0,nan,nan,0.28694,7.4
90,30.0,9,nan,nan,0.2868,7.5
91,20.0,6,nan,nan,0.28665,7.6
92,40.0,12,nan,nan,0.28651,7.7
93,30.0,9,nan,nan,0.28637,7.8
94,0.0,0,nan,nan,0.28622,7.9
95,0.0,0,nan,nan,0.28608,7.9
96,0.0,0,nan,nan,0.28594,8.0
97,40.0,12,nan,nan,0.28579,8.1
98,50.0,15,nan,nan,0.28565,8.2
99,0.0,0,nan,nan,0.28551,8.3
100,60.0,18,nan,nan,0.28537,8.3
101,0.0,0,-0.256561,0.562664,0.28522,13.6
102,0.0,0,-0.795851,0.462754,0.28508,18.1
103,0.0,0,-1.609945,0.395415,0.28494,22.7
104,20.0,6,-2.813694,0.414511,0.28479,27.7
105,0.0,0,-4.524603,0.527493,0.28465,32.4
106,0.0,0,-6.498439,0.652069,0.28451,37.1
107,10.0,3,-8.459499,0.843706,0.28437,41.7
108,10.0,3,-10.588965,1.018221,0.28423,46.6
109,0.0,0,-13.311894,1.766812,0.28408,51.5
110,10.0,3,-16.93882,8.530796,0.28394,56.3
111,10.0,3,-20.436608,8.57139,0.2838,60.9
112,0.0,0,-26.135726,7.511085,0.28366,65.6
113,0.0,0,-33.552834,43.987757,0.28352,70.4
114,20.0,6,-39.775349,25.96641,0.28337,75.1
